IdSHRU;SHRUName;SHRUAlias;IdLULC;IdSoil;LULCName;LULCAlias;f_Canopy;f_RootDepth;f_Surface;f_IRA;f_IRI;CanopySeason;f_CanopyBackg;C_USLE;P_USLE;ConvertTo;ColorLULC;SoilName;SoilAlias;f_To;f_Ksat;Porosity;K_USLE;ColorSoil;f_EfRootZone
302;Forest_SerraGeral-Colluvial;F_SGC;3;2;Forest;F;1.0;1.0;1.0;0.0;0.0;none;1.0;0.0001;1.0;none;darkgreen;SerraGeral-Colluvial;SGC;0.1;0.3;0.2;0.009000000000000001;gray;0.2
303;Forest_Botucatu-Residual;F_BoR;3;3;Forest;F;1.0;1.0;1.0;0.0;0.0;none;1.0;0.0001;1.0;none;darkgreen;Botucatu-Residual;BoR;1.0;0.9;0.4;0.0042;lightcoral;0.4
304;Forest_SerraGeral-Residual;F_SRR;3;4;Forest;F;1.0;1.0;1.0;0.0;0.0;none;1.0;0.0001;1.0;none;darkgreen;SerraGeral-Residual;SRR;0.1;0.1;0.1;0.009000000000000001;lightgray;0.1
305;Forest_Botucatu-Colluvial;F_BoC;3;5;Forest;F;1.0;1.0;1.0;0.0;0.0;none;1.0;0.0001;1.0;none;darkgreen;Botucatu-Colluvial;BoC;1.0;1.0;0.5;0.0042;brown;0.5
401;Pasture_Alluvial;P_All;4;1;Pasture;P;0.62;0.62;0.62;0.0;0.0;Jul & Sep & Nov & Jun;0.6;0.1;1.0;8 & 3;limegreen;Alluvial;All;0.1;0.5;0.2;0.0021;lightsteelblue;0.124
402;Pasture_SerraGeral-Colluvial;P_SGC;4;2;Pasture;P;0.62;0.62;0.62;0.0;0.0;Jul & Sep & Nov & Jun;0.6;0.1;1.0;8 & 3;limegreen;SerraGeral-Colluvial;SGC;0.1;0.3;0.2;0.009000000000000001;gray;0.124
403;Pasture_Botucatu-Residual;P_BoR;4;3;Pasture;P;0.62;0.62;0.62;0.0;0.0;Jul & Sep & Nov & Jun;0.6;0.1;1.0;8 & 3;limegreen;Botucatu-Residual;BoR;1.0;0.9;0.4;0.0042;lightcoral;0.248
404;Pasture_SerraGeral-Residual;P_SRR;4;4;Pasture;P;0.62;0.62;0.62;0.0;0.0;Jul & Sep & Nov & Jun;0.6;0.1;1.0;8 & 3;limegreen;SerraGeral-Residual;SRR;0.1;0.1;0.1;0.009000000000000001;lightgray;0.062
405;Pasture_Botucatu-Colluvial;P_BoC;4;5;Pasture;P;0.62;0.62;0.62;0.0;0.0;Jul & Sep & Nov & Jun;0.6;0.1;1.0;8 & 3;limegreen;Botucatu-Colluvial;BoC;1.0;1.0;0.5;0.0042;brown;0.31
501;Crops-Conv_Alluvial;CrC_All;5;1;Crops-Conv;CrC;0.65;0.65;0.65;0.0;0.0;Aug & Nov & Feb & Apr;0.1;0.4;1.0;8 & 3;goldenrod;Alluvial;All;0.1;0.5;0.2;0.0021;lightsteelblue;0.13
502;Crops-Conv_SerraGeral-Colluvial;CrC_SGC;5;2;Crops-Conv;CrC;0.65;0.65;0.65;0.0;0.0;Aug & Nov & Feb & Apr;0.1;0.4;1.0;8 & 3;goldenrod;SerraGeral-Colluvial;SGC;0.1;0.3;0.2;0.009000000000000001;gray;0.13
503;Crops-Conv_Botucatu-Residual;CrC_BoR;5;3;Crops-Conv;CrC;0.65;0.65;0.65;0.0;0.0;Aug & Nov & Feb & Apr;0.1;0.4;1.0;8 & 3;goldenrod;Botucatu-Residual;BoR;1.0;0.9;0.4;0.0042;lightcoral;0.26
504;Crops-Conv_SerraGeral-Residual;CrC_SRR;5;4;Crops-Conv;CrC;0.65;0.65;0.65;0.0;0.0;Aug & Nov & Feb & Apr;0.1;0.4;1.0;8 & 3;goldenrod;SerraGeral-Residual;SRR;0.1;0.1;0.1;0.009000000000000001;lightgray;0.065
505;Crops-Conv_Botucatu-Colluvial;CrC_BoC;5;5;Crops-Conv;CrC;0.65;0.65;0.65;0.0;0.0;Aug & Nov & Feb & Apr;0.1;0.4;1.0;8 & 3;goldenrod;Botucatu-Colluvial;BoC;1.0;1.0;0.5;0.0042;brown;0.325
601;Crops-Rice_Alluvial;CrR_All;6;1;Crops-Rice;CrR;0.65;0.65;0.65;0.0;1.0;Sep & Nov & Feb & Apr;0.7;0.4;1.0;none;khaki;Alluvial;All;0.1;0.5;0.2;0.0021;lightsteelblue;0.13
602;Crops-Rice_SerraGeral-Colluvial;CrR_SGC;6;2;Crops-Rice;CrR;0.65;0.65;0.65;0.0;1.0;Sep & Nov & Feb & Apr;0.7;0.4;1.0;none;khaki;SerraGeral-Colluvial;SGC;0.1;0.3;0.2;0.009000000000000001;gray;0.13
603;Crops-Rice_Botucatu-Residual;CrR_BoR;6;3;Crops-Rice;CrR;0.65;0.65;0.65;0.0;1.0;Sep & Nov & Feb & Apr;0.7;0.4;1.0;none;khaki;Botucatu-Residual;BoR;1.0;0.9;0.4;0.0042;lightcoral;0.26
604;Crops-Rice_SerraGeral-Residual;CrR_SRR;6;4;Crops-Rice;CrR;0.65;0.65;0.65;0.0;1.0;Sep & Nov & Feb & Apr;0.7;0.4;1.0;none;khaki;SerraGeral-Residual;SRR;0.1;0.1;0.1;0.009000000000000001;lightgray;0.065
605;Crops-Rice_Botucatu-Colluvial;CrR_BoC;6;5;Crops-Rice;CrR;0.65;0.65;0.65;0.0;1.0;Sep & Nov & Feb & Apr;0.7;0.4;1.0;none;khaki;Botucatu-Colluvial;BoC;1.0;1.0;0.5;0.0042;brown;0.325
701;Crops-Pivot_Alluvial;CrP_All;7;1;Crops-Pivot;CrP;0.65;0.65;0.65;1.0;0.0;Aug & Nov & Feb & Apr;0.7;0.4;1.0;none;gold;Alluvial;All;0.1;0.5;0.2;0.0021;lightsteelblue;0.13
702;Crops-Pivot_SerraGeral-Colluvial;CrP_SGC;7;2;Crops-Pivot;CrP;0.65;0.65;0.65;1.0;0.0;Aug & Nov & Feb & Apr;0.7;0.4;1.0;none;gold;SerraGeral-Colluvial;SGC;0.1;0.3;0.2;0.009000000000000001;gray;0.13
703;Crops-Pivot_Botucatu-Residual;CrP_BoR;7;3;Crops-Pivot;CrP;0.65;0.65;0.65;1.0;0.0;Aug & Nov & Feb & Apr;0.7;0.4;1.0;none;gold;Botucatu-Residual;BoR;1.0;0.9;0.4;0.0042;lightcoral;0.26
704;Crops-Pivot_SerraGeral-Residual;CrP_SRR;7;4;Crops-Pivot;CrP;0.65;0.65;0.65;1.0;0.0;Aug & Nov & Feb & Apr;0.7;0.4;1.0;none;gold;SerraGeral-Residual;SRR;0.1;0.1;0.1;0.009000000000000001;lightgray;0.065
705;Crops-Pivot_Botucatu-Colluvial;CrP_BoC;7;5;Crops-Pivot;CrP;0.65;0.65;0.65;1.0;0.0;Aug & Nov & Feb & Apr;0.7;0.4;1.0;none;gold;Botucatu-Colluvial;BoC;1.0;1.0;0.5;0.0042;brown;0.325
801;NBS-Crops_Alluvial;NbC_All;8;1;NBS-Crops;NbC;0.7;0.7;0.7;0.0;0.0;Aug & Nov & Feb & Apr;0.6;0.06;0.3;none;olive;Alluvial;All;0.1;0.5;0.2;0.0021;lightsteelblue;0.13999999999999999
802;NBS-Crops_SerraGeral-Colluvial;NbC_SGC;8;2;NBS-Crops;NbC;0.7;0.7;0.7;0.0;0.0;Aug & Nov & Feb & Apr;0.6;0.06;0.3;none;olive;SerraGeral-Colluvial;SGC;0.1;0.3;0.2;0.009000000000000001;gray;0.13999999999999999
803;NBS-Crops_Botucatu-Residual;NbC_BoR;8;3;NBS-Crops;NbC;0.7;0.7;0.7;0.0;0.0;Aug & Nov & Feb & Apr;0.6;0.06;0.3;none;olive;Botucatu-Residual;BoR;1.0;0.9;0.4;0.0042;lightcoral;0.27999999999999997
804;NBS-Crops_SerraGeral-Residual;NbC_SRR;8;4;NBS-Crops;NbC;0.7;0.7;0.7;0.0;0.0;Aug & Nov & Feb & Apr;0.6;0.06;0.3;none;olive;SerraGeral-Residual;SRR;0.1;0.1;0.1;0.009000000000000001;lightgray;0.06999999999999999
805;NBS-Crops_Botucatu-Colluvial;NbC_BoC;8;5;NBS-Crops;NbC;0.7;0.7;0.7;0.0;0.0;Aug & Nov & Feb & Apr;0.6;0.06;0.3;none;olive;Botucatu-Colluvial;BoC;1.0;1.0;0.5;0.0042;brown;0.35
901;Mining_Alluvial;M_All;9;1;Mining;M;0.0;0.0;0.0;0.0;0.0;none;0.4;0.8;1.0;none;sienna;Alluvial;All;0.1;0.5;0.2;0.0021;lightsteelblue;0.0
902;Mining_SerraGeral-Colluvial;M_SGC;9;2;Mining;M;0.0;0.0;0.0;0.0;0.0;none;0.4;0.8;1.0;none;sienna;SerraGeral-Colluvial;SGC;0.1;0.3;0.2;0.009000000000000001;gray;0.0
903;Mining_Botucatu-Residual;M_BoR;9;3;Mining;M;0.0;0.0;0.0;0.0;0.0;none;0.4;0.8;1.0;none;sienna;Botucatu-Residual;BoR;1.0;0.9;0.4;0.0042;lightcoral;0.0
904;Mining_SerraGeral-Residual;M_SRR;9;4;Mining;M;0.0;0.0;0.0;0.0;0.0;none;0.4;0.8;1.0;none;sienna;SerraGeral-Residual;SRR;0.1;0.1;0.1;0.009000000000000001;lightgray;0.0
905;Mining_Botucatu-Colluvial;M_BoC;9;5;Mining;M;0.0;0.0;0.0;0.0;0.0;none;0.4;0.8;1.0;none;sienna;Botucatu-Colluvial;BoC;1.0;1.0;0.5;0.0042;brown;0.0
