Date;Prec;Temp;Flow;Q
2011-01-01;0.0;24.94;2.4827;0.2508347856836149
2011-01-02;15.7;23.44;2.3606;0.23849864868278145
2011-01-03;8.15;24.04;2.018;0.2038847212750373
2011-01-04;0.0;25.64;1.5225;0.15382283852390696
2011-01-05;0.0;26.8;1.2676;0.1280695107473921
2011-01-06;27.95;27.12;10.3215;1.0428127604758657
2011-01-07;8.95;27.64;8.6398;0.8729054583112322
2011-01-08;0.0;26.76;7.8375;0.7918466318102599
2011-01-09;4.9;27.28;7.0621;0.7135055947058675
2011-01-10;3.3;25.84;6.6847;0.6753757167032913
2011-01-11;1.25;25.2;6.3144;0.6379631734485111
2011-01-12;3.5;23.88;5.5956;0.5653406077138744
2011-01-13;13.9;24.2;4.9066;0.4957288272587205
2011-01-14;1.05;25.84;4.2489;0.429279381677654
2011-01-15;9.4;26.28;3.624;0.36614382056528
2011-01-16;0.0;28.96;3.0335;0.3064837968225101
2011-01-17;2.5;25.36;2.4827;0.2508347856836149
2011-01-18;26.35;24.6;13.9746;1.4118966431764794
2011-01-19;0.0;26.08;9.0507;0.9144199439266502
2011-01-20;2.6;24.64;5.0760000000000005;0.5128438281427598
2011-01-21;0.0;25.64;3.3243;0.3358642115632341
2011-01-22;2.9;25.84;2.4827;0.2508347856836149
2011-01-23;0.0;26.04;2.3606;0.23849864868278145
2011-01-24;0.0;26.76;2.1283;0.21502866813164606
2011-01-25;6.5;28.2;2.1283;0.21502866813164606
2011-01-26;4.4;26.24;5.7725;0.5832133565709379
2011-01-27;4.85;26.48;5.5956;0.5653406077138744
2011-01-28;2.4000000000000004;27.24;5.0760000000000005;0.5128438281427598
2011-01-29;7.7;27.28;4.5738;0.4621050238690612
2011-01-30;9.25;26.24;3.9323;0.39729231390972697
2011-01-31;0.0;27.28;3.9323;0.39729231390972697
2011-02-01;28.9;24.96;18.5089;1.8700108610542805
2011-02-02;0.0;23.18;11.4228;1.1540804728347354
2011-02-03;0.0;25.46;6.6847;0.6753757167032913
2011-02-04;0.25;27.28;5.2473;0.5301507918466318
2011-02-05;4.85;26.48;4.5738;0.4621050238690612
2011-02-06;0.049999999999999815;26.0;3.9323;0.39729231390972697
2011-02-07;1.6;25.36;3.9323;0.39729231390972697
2011-02-08;17.05;26.6;3.624;0.36614382056528
2011-02-09;4.45;26.0;3.3243;0.3358642115632341
2011-02-10;1.95;23.84;15.4381;1.5597585309792632
2011-02-11;4.55;24.0;19.5737;1.9775908666110984
2011-02-12;17.85;22.12;32.326;3.265994796797252
2011-02-13;47.45;23.72;49.8149;5.032951933520245
2011-02-14;0.0;23.56;31.4291;3.175378242529868
2011-02-15;0.0;21.62;19.5737;1.9775908666110984
2011-02-16;0.0;24.1;18.5089;1.8700108610542805
2011-02-17;0.0;25.8;16.95;1.7125104190346292
2011-02-18;0.0;25.96;14.9448;1.5099189209668864
2011-02-19;0.0;26.36;13.2615;1.3398499659013412
2011-02-20;21.05;26.12;10.7575;1.0868631759743377
2011-02-21;0.0;24.48;9.0507;0.9144199439266502
2011-02-22;6.25;23.88;7.4464;0.7523326008436261
2011-02-23;10.8;22.6;6.3144;0.6379631734485111
2011-02-24;16.200000000000006;26.28;5.9513;0.6012780682478341
2011-02-25;1.75;25.32;4.9066;0.4957288272587205
2011-02-26;8.299999999999999;23.4;4.2489;0.429279381677654
2011-02-27;7.55;22.96;3.3243;0.3358642115632341
2011-02-28;0.0;21.66;2.3606;0.23849864868278145
2011-03-01;0.0;21.78;1.6144;0.1631077770200298
2011-03-02;0.0;21.82;1.2676;0.1280695107473921
2011-03-03;0.0;22.54;0.9737;0.09837589351115153
2011-03-04;0.0;22.74;0.6227;0.06291328837362027
2011-03-05;0.0;23.04;0.4425;0.044707130408426166
2011-03-06;0.0;22.96;0.2704;0.02731934025409815
2011-03-07;0.0;23.2;0.2163;0.021853451542017125
2011-03-08;0.0;24.12;0.1921;0.0194084514157258
2011-03-09;0.0;24.36;0.1493;0.015084236316334518
2011-03-10;13.05;24.08;1.4341;0.14489151574852868
2011-03-11;25.2;23.56;16.4407;1.6610542800131345
2011-03-12;0.4500000000000002;25.44;10.9777;1.1091106564623274
2011-03-13;0.0;23.52;8.4367;0.8523856432017379
2011-03-14;0.0;18.06;7.0621;0.7135055947058675
2011-03-15;0.0;18.74;6.3144;0.6379631734485111
2011-03-16;0.0;22.42;4.5738;0.4621050238690612
2011-03-17;1.5;23.88;3.0335;0.3064837968225101
2011-03-18;5.55;21.36;2.018;0.2038847212750373
2011-03-19;0.0;19.56;1.8088;0.18274860448081634
2011-03-20;0.0;20.12;1.6144;0.1631077770200298
2011-03-21;0.0;22.54;1.3492;0.1363138086938951
2011-03-22;0.0;26.08;0.9737;0.09837589351115153
2011-03-23;0.0;26.96;0.6742;0.0681164911217196
2011-03-24;4.5;23.72;0.5276;0.05330504407567376
2011-03-25;9.55;22.12;0.4036;0.04077694425500745
2011-03-26;25.65;22.04;33.0503;3.3391730443787737
2011-03-27;18.35;20.08;36.0074;3.637937915182743
2011-03-28;63.4;19.32;100.259;10.129473870324064
2011-03-29;14.95;19.98;94.8387;9.58184435856634
2011-03-30;0.0;22.28;45.4359;4.590528150337197
2011-03-31;0.0;22.52;28.9686;2.9267863908464045
2011-04-01;0.0;22.12;19.5737;1.9775908666110984
2011-04-02;0.0;21.54;14.4569;1.4606248894950873
2011-04-03;0.0;20.94;9.2585;0.935414614432573
2011-04-04;0.0;20.78;7.8375;0.7918466318102599
2011-04-05;1.4;18.46;6.3144;0.6379631734485111
2011-04-06;0.0;18.16;35.4457;3.5811876436563868
2011-04-07;0.0;18.58;10.5387;1.064757141774646
2011-04-08;0.0;21.44;7.8375;0.7918466318102599
2011-04-09;13.15;19.3;6.3144;0.6379631734485111
2011-04-10;0.0;20.5;4.4104;0.4455962213634413
2011-04-11;0.0;20.34;3.1778;0.32106286782349525
2011-04-12;0.0;20.98;1.9116;0.193134803364401
2011-04-13;4.9;23.54;1.1893;0.12015862190901973
2011-04-14;62.25;20.4;71.691;7.243161324543457
2011-04-15;75.44999999999997;20.8;185.201;18.711424313606628
2011-04-16;1.300000000000003;18.04;68.7953;6.950599883811978
2011-04-17;7.25;21.4;36.7615;3.7141269480437473
2011-04-18;2.75;18.36;33.2324;3.3575711651637996
2011-04-19;0.0;17.08;29.8387;3.014695259023516
2011-04-20;0.0;20.78;25.0922;2.535141825162284
2011-04-21;3.4;20.26;17.9842;1.8169988128615089
2011-04-22;0.0;21.38;12.7932;1.292536182465712
2011-04-23;15.95;18.04;153.44299999999996;15.502816296633064
2011-04-24;0.0;13.38;78.1173;7.892430097749489
2011-04-25;0.0;14.08;41.4076;4.183536662372762
2011-04-26;0.0;15.38;33.0503;3.3391730443787737
2011-04-27;0.0;18.18;27.4269;2.7710237175115555
2011-04-28;0.0;20.1;29.1418;2.9442853173701096
2011-04-29;0.0;19.6;28.9686;2.9267863908464045
2011-04-30;0.0;18.56;25.5859;2.5850218483998892
2011-05-01;1.3;16.24;23.1537;2.3392892324013035
2011-05-02;0.55;13.46;16.95;1.7125104190346292
2011-05-03;2.4;12.34;12.3305;1.2457881841832743
2011-05-04;0.0;13.84;9.2585;0.935414614432573
2011-05-05;0.0;15.78;7.6411;0.7720037382233336
2011-05-06;0.0;16.48;6.3144;0.6379631734485111
2011-05-07;0.0;15.34;4.5738;0.4621050238690612
2011-05-08;0.0;16.82;3.624;0.36614382056528
2011-05-09;0.25;15.62;3.1778;0.32106286782349525
2011-05-10;0.0;16.3;2.7518;0.27802278295572225
2011-05-11;7.15;18.78;2.4827;0.2508347856836149
2011-05-12;1.2500000000000004;17.88;2.2425;0.2265666439342275
2011-05-13;0.0;16.42;2.018;0.2038847212750373
2011-05-14;0.0;15.02;1.8088;0.18274860448081634
2011-05-15;1.75;15.54;1.6144;0.1631077770200298
2011-05-16;2.35;13.66;1.4341;0.14489151574852868
2011-05-17;0.0;13.2;2.4827;0.2508347856836149
2011-05-18;0.0;14.9;2.2425;0.2265666439342275
2011-05-19;0.0;14.7;2.018;0.2038847212750373
2011-05-20;0.0;16.98;2.018;0.2038847212750373
2011-05-21;0.0;17.18;1.9116;0.193134803364401
2011-05-22;0.0;21.86;1.6144;0.1631077770200298
2011-05-23;19.85;19.12;6.1320000000000014;0.6195347427445633
2011-05-24;1.0;17.34;4.9066;0.4957288272587205
2011-05-25;0.0;20.2;4.0896;0.4131848147306206
2011-05-26;0.0;14.72;3.624;0.36614382056528
2011-05-27;0.0;13.44;3.3243;0.3358642115632341
2011-05-28;0.0;11.36;3.0335;0.3064837968225101
2011-05-29;0.0;10.62;2.7518;0.27802278295572225
2011-05-30;0.0;11.18;2.4827;0.2508347856836149
2011-05-31;0.2;13.94;2.2425;0.2265666439342275
2011-06-01;0.0;11.56;2.1283;0.21502866813164606
2011-06-02;0.0;11.7;1.9116;0.193134803364401
2011-06-03;0.0;15.02;1.6144;0.1631077770200298
2011-06-04;0.0;6.46;1.2676;0.1280695107473921
2011-06-05;0.0;6.36;1.1143;0.11258114217877804
2011-06-06;0.0;14.26;0.8452;0.08539314490667071
2011-06-07;7.75;12.92;18.7732;1.896713899623652
2011-06-08;37.35;11.7;27.0886;2.7368442322750117
2011-06-09;0.0;10.1;12.7932;1.292536182465712
2011-06-10;0.0;11.42;7.6411;0.7720037382233336
2011-06-11;0.0;11.66;6.4987;0.6565835669722918
